¬
{IMPERIAL_CAMPAIGN_AZTECS_DESCR}	Ashkhan Sul-Matuul\n\n Ashlanders are the Dunmer nomads of the Morrowind wastelands. They claim to be the direct descendants of the Aldmeri peoples who followed the prophet Veloth into the lands now called Morrowind. They live in camps  formed of small, mobile huts, and typically spend time herding guar and hunting wildlife for meat and hides. The traditions of the Ashlanders give them the right to raid other settlements and other tribes for plunder and slaves. They are lead by Ashkhan, or warchiefs, and are counseled by the arcane wisdom and prophecies of their wise women. There also exists a strong belief in their ancestors. The Velothi are people of Ashlander stock who have abandoned nomadic life and settled among the native Dunmer.\n The Velothi are despised by their Ashlander cousins as being weak and soft, while the Dunmer look down upon the Velothi as an insignificant underclass.\n The Ashlanders believe in the anachronistic culture of the old Dunmer, which, for everyone else, has evolved into the theocratic Great Houses of today's other Dunmer. The Ashlanders see the worship of living Dunmer and the practices of Morrowind's main religious organisation, the Tribunal Temple, as an abomination.\n The Ashlanders prefer the simplistic culture and subsistence economy gained from being nomadic herders or hunters. Their ancestor worship and 'barbaric' ways are considered shamanistic and primitive by Dunmer and Imperial standards.\n Ashlander nomadic camps have portable huts bult from hides stretched on chitin frames. These huts can be quickly dismantled and packed atop a guar when moving to new grazing and hunting grounds. The khan's hut is simply a larger, more elaborate version of a family hut.\n The typical Ashlander is badly predisposed towards foreigners, and many wish for said foreigners and their false gods to be driven from Morrowind. Their desire is for the foreign devils to leave in peace. Ashlanders believe it shameful to attack unarmed persons, but they will kill without hesitation an armed person who egregiously offends them or their clan laws. While the pride of Ashlanders is not strong enough to wage unbeatable war against the Empire, it is strong enough to strike when the Empire appears to be weakened. \n Among clan and kin, Ashlander courtesy is very proper and polite. Outsiders would percieve them as harsh and cruel, perhaps hateful by nature. In their society, challenges are very solemn and serious affairs. They take no offense to gifts of money, and take them as tokens of deference and respect.\n Ashlanders may challenge a stranger who enters a yurt (tent/living place) without invitation.  Specific customs for this differ from tribe to tribe, but leaving when requested typically means no offense is taken. When challenged by an Ashlander for sport, it is acceptable to decline. When challenged for honor, however, it is shameful to decline. Honor challenges arise from offense given in speech or action, or may represent customary formal challenges of status or ritual.\n Ashlander pride is strong. The ways of an Ashlander are pure, but demanding to the untested. It will take a strong leader to bring the last true people of Morrowind honor... by force, or all out war if necessary.
{IMPERIAL_CAMPAIGN_AZTECS_TITLE}	Tribes of Ashlanders
{CONCORDAT_BYZANTIUM_TITLE}	Kingdom of Alinor
{CONCORDAT_ALTMER_TITLE}	Third Aldmeri Dominion
{CONCORDAT_DENMARK_TITLE}	Kingdom of Orsinium
{CONCORDAT_EGYPT_TITLE}		Kingdom of Anequina
{CONCORDAT_ENGLAND_TITLE}	Mede Empire
{CONCORDAT_HUNGARY_TITLE}	Great House Telvanni
{CONCORDAT_MOORS_TITLE}		Clan of Forebears
{CONCORDAT_POLAND_TITLE}	Great House Redoran
{CONCORDAT_RUSSIA_TITLE}	Clans of Black Marsh
{CONCORDAT_SCOTLAND_TITLE}	Hold of Eastmarch
{CONCORDAT_SKYRIM_TITLE}	Hold of Haafingar (now High King)
{CONCORDAT_SPAIN_TITLE}		Clan of Crowns
{CONCORDAT_TIMURIDS_TITLE}	Great House Dres
{CONCORDAT_TURKS_TITLE}		Kingdom of Pellitine
{CONCORDAT_VENICE_TITLE}	Kingdom of Daggerfall
{CONCORDAT_MONGOLS_TITLE}	Kingdom of Wayrest
{CONCORDAT_FRANCE_TITLE}	Kingdom of Valenwood
{CONCORDAT_SHARN_TITLE}	Kingdom of Sharnhelm
{CONCORDAT_EVER_TITLE}	Kingdom of Evemore
{CONCORDAT_MILAN_TITLE}	House Indoryl
{CONCORDAT_AZTECS_TITLE}	Tribes of Ashlanders


____________________________________________________________________________________________________________________________
{STORMCLOAK_TITLE}		4E 201 - Stormcloak Rebellion
{STORMCLOAK_DESCR}		        4E - 201 A year that will go down in history and legend both, the year of the last Dragonborn. \n\n 5 years after the Great War had ended, the Redguards of Hammerfell were still fighting against the Aldmeri occupation.  \n\n They had been abandoned by the Empire and left alone, but this struggle had brought the bickering clans of Hammerfell together, the Crowns and Forebears put aside their age old rivalries and stood united against the Elves, alone, they managed to fight the Elves to a standstill, and in the year 180 the Second Treaty of Stros M'Kai was signed, all remaining Dominion forces withdrew from Hammerfell. \n\n High Rock had been spared many of the horrors of the Great War due to it's position far from the fronts, but its time of peace did not last. In the year 188 Corsair pirates sacked the Great trade city of Wayrest and took it over, a golden age in the Kingdom of Wayrests history quickly came to a violent end. Meanwhile in Cyrodiil unrest was rife, criminals roamed freely as the weakened Empire clung to what strength they had left. In Bravil two major players in the Skooma trade decided to use the city as their battleground. Riots and looting took over the city, even the Lucky Lady statue was destroyed, and it took weeks for guards to restore order. \n\n In Skyrim the young High King Torygg ruled, his father Istlod, who had led Skyrim in the Great War had died a few years earlier and Torygg had been near unanimously voted High King, one who spoke against Torygg was Ulfric Stormcloak, Jarl of Windhelm.  \n\n After the Markarth incident Ulfric began to lose faith in the Empire, he believed it was no longer the proud strong Empire it had once been, the Empire forged by Talos, had abandoned him... No longer would Ulfric bend his knee to Torygg, no longer would he sit by while the Elves steal away people in the night. Ulfric rode to the Great Capital of Skyrim, Solitude. There before the Kings court he issued a challenge to Torygg, an old Nord custom, a duel of Honor and Strength. Torygg knew Ulfric was a greater warrior, and that Ulfric could use the Thu'um, he respected Ulfric, and he was no coward, he accepted his death like a true Nord. And so Ulfric used his Thu'um and shouted the brave young King apart, he then fled the city on horseback with guards in pursuit. The Imperials decried him as a traitor and coward guilty of regicide, and ordered his arrest, Ulfric raised his banner in Rebellion and several of the holds of Skyrim followed him.  \n\n Skyrim is split in two, the Civil War has begun. Yet... their may be greater threats on the horizon... For the Scrolls have foretold of Black Wings in the Cold that when Brothers Wage War Come Unfurled!!
{STORMCLOAK_BYZANTIUM_TITLE}	Kingdom of Alinor
{STORMCLOAK_ALTMER_TITLE}	Third Aldmeri Dominion
{STORMCLOAK_DENMARK_TITLE}	Kingdom of Orsinium
{STORMCLOAK_EGYPT_TITLE}		Kingdom of Anequina
{STORMCLOAK_ENGLAND_TITLE}	Mede Empire
{STORMCLOAK_HUNGARY_TITLE}	Great House Telvanni
{STORMCLOAK_MILAN_TITLE}	Great House Indoryl
{STORMCLOAK_MOORS_TITLE}		Clan of Forebears
{STORMCLOAK_POLAND_TITLE}	Great House Redoran
{STORMCLOAK_RUSSIA_TITLE}	Clans of Black Marsh
{STORMCLOAK_SCOTLAND_TITLE}	Stormcloaks
{STORMCLOAK_SKYRIM_TITLE}	Hold of Haafingar
{STORMCLOAK_SPAIN_TITLE}		Clan of Crowns 
{STORMCLOAK_TIMURIDS_TITLE}	Great House Dres 
{STORMCLOAK_TURKS_TITLE}		Kingdom of Pellitine 
{STORMCLOAK_VENICE_TITLE}	Kingdom of Daggerfall
{STORMCLOAK_MONGOLS_TITLE}	Kingdom of Wayrest
{STORMCLOAK_FRANCE_TITLE}	Kingdom of Valenwood
{STORMCLOAK_EVER_TITLE}	Kingdom of Evermore
{STORMCLOAK_SHARN_TITLE}	Kingdom of Sharnhelm
{STORMCLOAK_AZTECS_TITLE}	Tribes of Ashlanders
{STORMCLOAK_BYZANTIUM_DESCR}	Talcar Aran Alinor\n\n  The Third Aldmeri Dominion, colloquially known as the Aldmeri Dominion, is a powerful union established in 4E 29 by the Thalmor, a group of radical, nationalist Altmer in the Summerset Isles who advocated for the supremacy of the various races of Mer over Men.
\n\nSeeking to recreate the First Aldmeri Dominion, the Thalmor expanded their empire into the provinces of Valenwood, Elsweyr, and briefly into Cyrodiil and Hammerfell during the Great War.
\n\nFollowing the consolidation of Valenwood and the Summerset Isles into the Third Aldmeri Dominion, the Dominion began a policy of expanding Aldmeri influence and power across Tamriel at the expense of the Third Empire of Cyrodiil. The Aldmeri Dominion first expanded into Elsweyr, adding the Khajiiti kingdoms of Anequina and Pelletine as its client states, and reformed The Elsweyr Confederacy. However, this expansion caught the attention of the Third Empire, which began a rivalry between the Dominion and the Empire that would ultimately lead up to the Great War, a devastating war fought between the Dominion and the Empire.
\n\nFollowing the White-Gold Concordat, the Third Aldmeri Dominion experienced increased prestige and power that the Mer had not possessed since the First Aldmeri Dominion. Confident of its ability to defeat the Third Empire, the Dominion further expanded its influence into the other provinces of Tamriel. It also reestablished diplomatic relations with the Third Empire, even though each were still engaged in a cold war.
{STORMCLOAK_ALTMER_DESCR}	High Justiciar Falcar\n\n  The Third Aldmeri Dominion, colloquially known as the Aldmeri Dominion, is a powerful union established in 4E 29 by the Thalmor, a group of radical, nationalist Altmer in the Summerset Isles who advocated for the supremacy of the various races of Mer over Men.
\n\nSeeking to recreate the First Aldmeri Dominion, the Thalmor expanded their empire into the provinces of Valenwood, Elsweyr, and briefly into Cyrodiil and Hammerfell during the Great War.
\n\nFollowing the consolidation of Valenwood and the Summerset Isles into the Third Aldmeri Dominion, the Dominion began a policy of expanding Aldmeri influence and power across Tamriel at the expense of the Third Empire of Cyrodiil. The Aldmeri Dominion first expanded into Elsweyr, adding the Khajiiti kingdoms of Anequina and Pelletine as its client states, and reformed The Elsweyr Confederacy. However, this expansion caught the attention of the Third Empire, which began a rivalry between the Dominion and the Empire that would ultimately lead up to the Great War, a devastating war fought between the Dominion and the Empire.
\n\nFollowing the White-Gold Concordat, the Third Aldmeri Dominion experienced increased prestige and power that the Mer had not possessed since the First Aldmeri Dominion. Confident of its ability to defeat the Third Empire, the Dominion further expanded its influence into the other provinces of Tamriel. It also reestablished diplomatic relations with the Third Empire, even though each were still engaged in a cold war.
{STORMCLOAK_DENMARK_DESCR}	King Gathurn gro-Nagorm\n\n  The very First Orsinium, sometimes known as "Torug's Folly", was founded by Orc chieftain Torug gro-Igron, after Warlord Thulgeg led a great emigration of Orsimer and Goblins to the Wrothgarian Mountains in 1E 874. A number of the settlers were beastmen set free by the rulers of the Summerset Isles and permitted to settle lands north of Valenwood. At first, it was just a small collection of huts. As word spread to the other Orcs of Tamriel about this rising civilization high in the Wrothgarian Mountains it soon grew to house more permanent structures.
\n\nIn its early stages, the other races of Tamriel deemed it a place ruled by savage law which raided its neighbors along the Bjoulsae River. It was thought by the Bretons to be little more than a desolate mountain region where Orcs scratched a meager living off rocks and secretly coveted the lands and the settled livelihood of their valley-bound neighbors. Orc historians however, claim this is simply Breton superstition and exaggeration. They claim Orsinium was always a peaceful land whose inhabitants made their way by simple agriculture and commerce. In truth however, the matter boils down to the roles of the Orsimer clans residing in the city. Clan Bagrakh committed the raids in honor of Clan Igron and King Golkarr. The Orcish claim is also partially true, as clans Shatul and Tumnosh provided the city's economy with farming and blacksmithing, respectively.
\n\nIn 1E 950, Daggerfall and Sentinel, with the help of the Order of Diagna and Knights of the Dragon, declared war on Orsinium in response to the Bjoulsae Raids. This event became known as the Siege of Orsinium, which lasted for thirty years. The Orc clans of the city united and fought back against the human invaders vigorously, and the three gates of the city designed by Torug also made it harder for the invading armies to break into the city. The gate of Smelter fell in 1E 960, ten years into the invasion. In 1E 970, Diagnan leader Gaiden Shinji and Orcish hero Baloth Bloodtusk had a duel, though were both assassinated by Joile of Daggerfall and General Mercedene of the Winterborn. The distraction caused by this event allowed the invaders to break through the gate of Hammer. The invasion came to an end in 1E 980, when the gate of Temper fell and King Golkarr was killed.
\n\nWith no province to call their own, the Orsimer became little more than pests and monsters in the view of the average Tamrielic citizen. The Orcs attempted to set-up at least two new Orsiniums, but they were destroyed before they could become permanent settlements. They were always destroyed before they could be properly established, and the succeeding Orsinium was finally established in the mid-Second Era.
\n\nThe Second Orsinium existed during the Three Banners War in 2E 582, where it was undergoing construction. The city was under the control of Kurog gro-Orsinium, who united it with the Daggerfall Covenant. Kurog did not control the entirety of Wrothgar, and sought to unite the Orc clans under one faction. This did not prove easy, as Kurog's support for the worship of Trinimac did not sit well with the other chieftains. Kurog later invited many of the Orcish chiefs to a Moot, though it was revealed that this was in fact a trap, and Kurog attempted to assassinate the chiefs. His plans were foiled by Bazrag gro-Fharun, Eveli Sharp-Arrow, and the Vestige, and Kurog was later slain by the Vestige in 2E 583. Bazrag then held a funeral for Kurog on the city's Castle Overlook, saying that Kurog was influenced by his mother to take such dire actions. After pressure from the Orc community, Bazrag took the title of the King of Orsinium. After these events, Orsinium's alliance with the Daggerfall Covenant was put into question, as the accord was struck with Kurog and Emeric, resulting in Bazrag to consult the Orsimer community on the matter. It is unknown when it was destroyed, though in 2E 864 the Orsimer petitioned Tiber Septim to grant them the status of an Imperial Territory once more.
\n\nAn Orc visionary named Gortwog gro-Nagorm acquired the site of the former civilization of Orsinium and began reconstructing a new city for the Orsimer of Tamriel. As it grew, many believed it would succumb to the same fate as its predecessor. Gortwog though, proved to be a superb politician and diplomat and managed to make negotiations with Orsinium's neighbors which saw the Third Orsinium prosper.
\n\nOrsinium had asked the Imperial authorities to raise it to Provincial status, making it recognized as a fully-fledged Province of Tamriel. Its request was under review and given the likelihood of a stable future with its previous rival High Rock, many believed Orsinium had a very good chance of succeeding in its goal. It is unknown if it became a province prior to its sacking in the early Fourth Era.
\n\nSome time in the early Fourth Era, Orsinium was once again sacked, this time by a combined Breton-Redguard force. During the sack two Imperial Legions, the Seventh and Fifteenth Legions, intervened. It is unknown if they fought the besiegers, however they did rescue Orc survivors and brought them to Skyrim.
\n\nLike before, it was rebuilt, but this time not in the Wrothgarian mountains like the three previous incarnations of the Orc kingdom. The Fourth Orsinium was instead built in the Dragontail Mountains in between the Eastern Reach of Skyrim and Craglorn of Hammerfell. It was likely built on the site of Exarch's Stronghold, an Iron Orc stronghold that existed during the Second Era, which could be found in the center of Craglorn.
{STORMCLOAK_EGYPT_DESCR}	Aran J'skar bi-Anequina \n\n  The state of Anequina, otherwise known as Ne Quin-al is located in the northern regions of Elsweyr, is one of the two states that existed before Keirgo of Anequina and Eshita of Pellitine combined their long-feuding kingdoms to create the Elsweyr Confederacy in 2E 309.
\n\nThe Confederacy lasted throughout its assimilation into the Tamrielic Empire before being torn back into the two separate states. It was once following a Thalmor supported coup d'état. Anequina now exists as a client state of the Third Aldmeri Dominion.
\n\nThe northern regions of Elsweyr are dominated by badlands and desert, a climate of which has influenced the culture of the Anequina Khajiit massively. The 'kingdom' is little more than a collection of chiefdoms in loose cooperation, but all with a common goal of preserving said culture and protecting their lands.
\n\nAfter the Oblivion Crisis, the province of Elsweyr was damaged as a result of the Daedra attacks but still part of the Empire. But once the two moons, Masser and Secunda, disappeared during the Void Nights, the province was thrown into chaos, as a large part of Khajiiti culture revolves around the interpretation of the lunar cycle. The Thalmor took advantage of the return of the moons to claim that they were responsible for bringing the moons back (or they may have actually brought the moons back using Dawn Magicks), and were able to gain a large amount of influence over Elsweyr. This led to Elsweyr splitting away from the Empire and forming the two states of Pelletine and Anequina once again.
{STORMCLOAK_ENGLAND_DESCR}	Emperor Titus Mede II\n\n  Ever since the beginning of the Fourth Era, the Septim Empire has undergone heavy changes, both culturally and politically. The death of Martin Septim and the end of the Oblivion Crisis marked the end of the Septim Dynasty, only to be led by the Mede Dynasty. The Elder Council continued to rule for fifteen years before the death of Chancellor Ocato, igniting a sanguinary civil war in Cyrodiil. It ended when Colovian warlord Titus Mede I conquered the Imperial City and took over what was left of the Empire.
\n\n When Titus Mede I took the throne, the Empire was nothing like what it used to be. The province of Black Marsh seceded from the Empire following the Oblivion Crisis, and Morrowind was largely destroyed, with only the most western portion being ruled by the Dunmer and the south being taken over by the now-independent Argonians. In the wake of the Oblivion Crisis, the Thalmor convinced the Altmer of the Summerset Isles that they were their saviors from the Daedra invasion and consolidated their power. In 4E 29, the government of Valenwood was overthrown by Thalmor collaborators and a union with Alinor proclaimed. Thus was the Aldmeri Dominion reborn. Leyawiin and Bravil had become independent city-states, and were constantly at war with one another. Elsweyr had declared independence and turned into the ancient kingdoms of Anequina and Pelletine. The Empire's ineffectual protection and seeming indifference to Morrowind's plights made them reviled by the Dunmer. After the Empire "released its grasp" on Morrowind, House Hlaalu, the last Imperial ally in the province, was ousted from the Grand Council, and Morrowind left the Empire, as had Hammerfell. Additionally, it is implied that High Rock had also left the Empire, leaving it with Skyrim and most of Cyrodiil.
\n\n During the rule of Titus Mede I, Bravil and Leyawiin were reclaimed. Hammerfell was also reconquered, and, if High Rock did leave the Empire, High Rock was also reclaimed. Under his leadership, rebels in Valenwood were also supplied by the Penitus Oculatus. Under later Emperors, Elsweyr was presumed to have been reclaimed, though Elsweyr was lost again following the Void Nights of 4E 98.[30] The status of Morrowind's affiliation with the Empire is questionable as they have full autonomy and appear to have little love for the Empire. Furthermore, the An-Xileel's invasion of Morrowind during the Accession War prevented the Empire from reclaiming Morrowind. During the Void Nights, the Thalmor claimed that they had restored the moons using previously unknown Dawn Magicks, but it is unclear if they truly restored the moons of just took advantage of foreknowledge that they would return.
\n\n Regardless of whether the Thalmor spoke truly or not, the Khajiit credited the Thalmor as their saviors. Fifteen years after the occurrence of the Void Nights, Imperial influence in Elsweyr had diminished so much that the Empire was unable to stop the coup of 4E 115 which dissolved the Elsweyr Confederacy and recreated the ancient kingdoms of Anequina and Pelletine as client states of the Aldmeri Dominion.
\n\n By the time of the Great War, the Empire was only a shadow of its former self. Only by signing the White-Gold Concordat was the Empire able to survive the Dominion's onslaught and thus end the Great War. The concordat led to the loss of Hammerfell, the southern part of which would have been handed over to the Dominion if not for the Redguard uprising (though most of the demanded territory was already conquered by Dominion forces). The northern portion of Hammerfell had been warring with the Dominion-held southern portion until the Second Treaty of Stros M'kai, which declared a truce between the Dominion and Hammerfell, resulting in the former's forces withdrawing. Included within the White-Gold Concordat was an immediate and thorough banishing of Talos worship. After the signing of the White-Gold Concordat and the events of the Markarth Incident, the Aldmeri Dominion's Thalmor agents established an embassy in Skyrim. The Thalmor Justiciars were sent to Skyrim to enforce the White-Gold Concordat and make sure that the Empire doesn't break it again. However, the Justiciars are also known to secretly capture and imprison any Nords who question their doctrines or beliefs. Furthermore, the book known as The Talos Mistake was published by an Imperial Liaison to the Aldmeri Dominion. This supposedly details Emperor Titus Mede II's personal belief that worshiping Talos is morally wrong and that the decision to ban Talos worship was a decision of his own making and was in no way coerced by the Aldmeri Dominion. According to the publication, the Emperor, and indeed the Empire itself, recognizes that allowing the worship of Talos was a mistake and publicly declares its support of removing Talos worship from Tamriel. Most of this book is, however, contradicted by several high ranking Imperial officials, as well as members of the Thalmor, making the reliability of the book questionable. All that is left of the Third Empire are the provinces of High Rock, a recovering Cyrodiil which took the brunt of the Great War, and the war-torn province of Skyrim.
{STORMCLOAK_FRANCE_DESCR}	The Hart-King Camoran Eralgor \n\n  The first Era was founded after King Eplear, a Bosmer, and founder of the Camoran Dynasty, began his rule. Soon after this founding, the Bosmeri began to change, to suit the environments of the forest in which they lived. In return for the patronage of Y'ffre, the Forest God (either one of the old ancestor spirits or an aspect of the true pantheon), they swore never to kill, injure, or eat any of the vegetation of the new home, which became known as the Green Pact. The Bosmeri unity should be considered an important military feat in itself, as Eplear managed to unify the disparate groups into a unified group. In 1E 340, the Camoran Dynasty formed a trade pact with the human slave rebels of the Alessian Order. This they then were forced to undo in 1E 369, with one of the Wild Hunts killing king Borgas of Skyrim, who was planning on declaring war on the Bosmer. Valenwood was able to maintain its independence for the majority of the First Era. It was only in 1E 2714, after unrelenting warfare from the Cyrodiil's and Colovia combined, coupled with the devastating effects of the Thrassian Plague, that finally brought the Camoran Dynasty into the Reman Empire. Reman then ensured that Valenwood would not be a threat to the Second Empire by raising the cities of Falinesti, Silvenar, Haven, Archen, Elden Root, and Woodhearth from local trading posts to full-fledged powers in their own right. As well as these, three other cities were granted city-state status, which made Valenwood as a whole easier to govern.
\n\nAfter the fall of the Second Empire in 2E 430, the Camorans tried to unify themselves once more under the one banner, however, they had drifted too far apart culturally. They then began to war with one another, the Khajiit to the east, and the Colovians to the north. As they were disunified, they offered no resistance to the encroachments made by the Maormer of Pyandonea.
\n\nDuring the 5th Century, the Camoran Dynasty had reasserted itself, and, with the exception of the Blacksap Rebellion, managed to assert Elden Root as the capital. This would become the capital of the Aldmeri Dominion.
\n\nAfter conquering Valenwood, Tiber Septim wisely decided to let the Bosmeri retain some symbols of its independence, so as to limit dissension. Thus, they allowed the creation of local chiefs and the Camoran Kings to remain.
\n\nThey are recorded as having been involved in the War of the Red Diamond, along with the provinces of Hammerfell, Summerset Isle, Elsweyr, Black Marsh, and Skyrim, and although it is not explicitly mentioned which side they fought on, it is likely that they went to the aid of Emperor Cephorus Septim I. However, the war itself left Valenwood unscathed.
\n\nAt the close of the Third Era, significant changes were occurring in Valenwood. The Wild Hunt had been sighted again for the first time in "over 500 years." The "Walking City" of Falinesti has taken root for the first time in recorded history, and there is a new Bosmer prophet, the Precursor, preaching that the old Forest God Y'ffre is returning with new gifts for his favored people. Whether these are isolated events, or signs of some great change coming to Valenwood, remains to be seen.
\n\nSeeking to recreate the Aldmeri Dominion, the Thalmor expanded their power into the provinces of Valenwood, Elsweyr, and briefly into Cyrodiil and Hammerfell. Summerset became independent shortly after the Oblivion Crisis, with the Thalmor taking credit for ending the crisis. Shortly after, the Thalmor and their sympathizers in Valenwood organized a coup to remove the Imperial rule. However, since not all of Valenwood agreed to Thalmor rule, rebellions occurred. These were funded by the Penitus Oculatus, however, despite the efforts of the Penitus Oculatus, most of these rebellions were taken down harshly. Following the consolidation of Valenwood and the Summerset Isles into the Third Aldmeri Dominion, the Dominion began a policy of expanding Aldmeri influence and power across Tamriel at the expense of the Third Empire of Cyrodiil. By claiming they had returned the Moons following the Void Nights, the Thalmor were seen as the saviors of the Khajiiti people, which resulted in adding the Khajiiti kingdoms of Anequina and Pelletine as client states to the Dominion. However, this expansion caught, even more, the attention of the Third Empire, which began a rivalry between the Dominion and the Empire that would ultimately lead up to the Great War, a devastating war fought between the Dominion and Empire. After 70 years of shutting communications with the Empire, it reestablished diplomatic relations with it.
\n\nRumors now hold that the Aldmeri Dominion is "cleansing" Valenwood.
{STORMCLOAK_HUNGARY_DESCR}	Archmagister Neloth\n\n  Traditionally isolationists, while most House Telvanni wizard-lords pursue wisdom and mastery in solitude, some ambitious members were actively involved in the colonization of Vvardenfell in the Third Era. They did so by building towers and bases all along the eastern coast of the island. The Telvanni believe that wisdom confers power, and power confers right.
\n\nIn the Third Era, House Telvanni had a plan to peacefully occupy all uninhabited parts of Vvardenfell in their own distinctive way. Any major construction projects in Vvardenfell required the consent of the Duke of Ebonheart, which was patently hard to obtain, and all other organizations who were not particularly friendly to the Empire struggled to gain territory in that system. The Telvanni, however, had no fear or respect towards Imperial law, and younger House Telvanni retainers were frequently sent, occasionally with a contingent of slaves, to build their own towers across the remote regions of Vvardenfell, never asking or informing anyone. According to the House's plan, as the towers grew into towns, most of Vvardenfell would become theirs. Almost all Telvanni were powerful and wealthy wizards, who were able to protect themselves against lawful retribution. This type of expansion was very dangerous for all other Great Houses, however. As a result of this, the other Houses sometimes attacked weaker Telvanni outposts.
\n\nThe eruption of Red Mountain in the Fourth Era likely destroyed much of the Telvanni holdings on Vvardenfell and some on the continent. According to Lymdrenn Telvanni, House Telvanni met its demise shortly after the end of the Red Year, when the Argonians invaded Morrowind in order to have revenge on the Dunmer, who had enslaved their people for hundreds of years. Being the greatest practitioners of slavery in Morrowind, the Telvanni received a great deal of the Argonians' fury, some of which is described in the journal of Lymdrenn Telvanni. According to his description, the Argonian invaders murdered the Telvanni family without mercy. However, most of the House members survived and now try to rebuilt their domain.
{STORMCLOAK_MILAN_DESCR}		Lord Araan Indoril\n\n  House Indoril is one of the Great Houses of Morrowind. The great Chimer hero Nerevar was the head of this House during the early First Era. House Indoril is a staunch supporter of the Tribunal Temple. Many of the Temple Ordinators and other Temple heroes are members of this House. This connection has given it a big influence on all political decisions in Morrowind.
\n\nPrior to Imperial conquest, House Indoril had been the dominant Great House throughout Morrowind's history. During the war with Tiber Septim's Empire, House Indoril was strongly against Imperial occupation. When Septim incorporated Morrowind into his Empire, Indoril refused to submit to Imperial rule. At the time the Lord High Councilor of the Grand Council, a council comprised of the heads of the Great Houses, was an Indoril and would not accept the treaty or step down, so he was assassinated and replaced with a member of House Hlaalu. More power struggles went on between the two Great Houses, with House Hlaalu, in support of Imperial accommodation, coming out the victor. Still unwilling to accept membership within the Empire, many Indoril nobles committed suicide, weakening the House.
\n\nAt the close of the Third Era, House Indoril had no territorial holdings on the island of Vvardenfell; all of its territory was located on mainland Morrowind. Its capital was Mournhold, also the capital of Morrowind itself.
\n\nHouse Indoril suffered greatly from the fall of the Tribunal Temple, due to the fact that they were staunch supporters of it. While the house technically still exists, the priesthood of the New Temple is now considered to be one and the same as House Indoril, though former Indoril nobles are still overrepresented in the priesthood.
{STORMCLOAK_MOORS_DESCR}		King Ennis al-Sentinel \n\n  Originally formed from the Ra Gada in the First Era, the Forebears are one of the two militaristic and political powers of Hammerfell. The Forebears first landed in the city of Hegathe, which they had conqeured from the native Betmer who lived there. Shortly after, the Forebear Sword-Singers started to expand along the coastline, and claimed the city of Sentinel, which was then occupied by men and elf. Sword-Singing was originally a part of Forebear culture, but started to fade away in later years.
\n\nDuring the Alliance War, king Fahara'jad of the Forebears ruled over Hammerfell. Crown loyalists saw him as a usurper, and said he was guilty of working with the Ash'abah, an order dedicated to slaying the undead if they were to appear in Hammerfell. Due to the Redguards seeing the dead as honored, this somewhat tainted the king's reputation.
\n\nDuring the Tiber Wars, after the death of King Thassad II, Hammerfell was plunged into Civil War. The Forebears were succesful at first, claiming the city of Sentinel in a massacre, which resulted in Prince A'Tor of the Crowns sailing to the mainland from Stros M'kai in order to reclaim it, resulting in one of the bloodiest massacres of Tamrielic history. After this defeat, the Crowns started winning the Civil War as they pushed the Forebears back across the deserts of Hammerfell. To avoid getting beaten by the Crowns, Baron Volag, leader of the Forebears at the time, signed a pact with Tiber Septim. In return for the aid of Septim's Imperial Legions, the Third Empire would be granted some border territory of Hammerfell. Septim sent his Legions to fight the Crowns, crushing their armies, and eventually slaying the Prince during the Battle of Hunding Bay. However, just before the war ended, Baron Volag had dissappeared, which resulted in the Empire creating its own, new, terms for the treaty, which resulted in all of Hammerfell falling to the Empire. However, after a rebellion on Stros M'kai, and the death of Amiel Richton, Tiber Septim discussed the terms of the Treaty of Stros M'kai with Iszara, who led the Crown resistance, and Baron Volag, who had come out of hiding.
\n\nIn the early days of the Fourth Era, Hammerfell had seceded from the Empire, though it was later reclaimed by Titus Mede I. Since 4E 168, the Crowns and Forebears had been at Civil War again, until the Great War took place three years later. Shortly after the war broke out, Forebear and Crown alike lost many cities, as almost every city along the southern coastline was conqeured by the forces of the Third Aldmeri Dominion. In 4E 172, only the city of Hegathe still held out. In 4E 173 a rare event occured, where a Forebear army from Sentinel broke the Aldmeri siege on Hegathe, which was a Crown city. Due to this act of kindness, the Crowns and Forebears stood united. At the same time, the city of Skaven was conqeured by other Aldmeri forces. When the Empire signed the White-Gold Concordat, Hammerfell saw it as a betrayal and refused to sign the treaty, resulting in the province being renounced and the Empire getting hatred from the Redguards. The Great War in Hammerfell lasted for five more years than in the Empire, as it lasted until 4E 180. It ended with the signing of the Second Treaty of Stros M'kai. The Redguards claim that the Dominion could have truly been defeated had they stood united with Hammerfell.
