¬
{Hircine}Hircine
{Meriath}Meriath
{Nelos}Nelos
{Otheri}Otheri
{Maryon}Maryon
{Storn}Storn
{Talcar}Talcar
{Tharsten}Tharsten
{Galyn}Galyn
{Mecinar}Mecinar
{Araan}Araan
{Cylben}Cylben
{Heartfang}HeartFang
{Noname}No name
{Tsrava}	Tsrava
{Tsrazami}	Tsrazami
{Ubaasi}	Ubaasi
{Udarra}	Udarra
{Unjara}	Unjara
{Vajhira}	Vajhira
{Vanjirra}	Vanjirra
{Yushi}		Yushi
{Zabhila}	Zabhila
{Zahraji}	Zahraji
{Zahrasha}	Zahrasha
{Zara}		Zara
{Zaynabi}	Zaynabi
{Kathutet}	Kathutet
{Amkaos}	Amkaos
{Orthe}		Orthe
{Ranyu}		Ranyu
{Cirus}		Cirus
{Orchun}	Orchun
{Churl}		Churl
{Amozambel}	Amozambel
{Shanyu}	Shanyu
{Orсhun}	Or-Chun
{Senutet}	Senutet
{Santhe}	Sante
{Korozoth}	Korozoth
{Sinzoth}	Sinzoth
{Amonateth}	Amonateth
{Anaedra}	Anaedra
{Raven}		Raven
{Ornhun}	Ornhun
{Mehrunes}	Mehrunes Dagon
{Umaril}	Umaril
{Kamoran}	Camoran
{Dremorawomana}	Dremora woman
{Dremorawomanb}	Dremora woman
{Dremorawomanc}	Dremora woman
{Dremorawomand}	Dremora woman
{Dremorawomane}	Dremora woman
{Ancotar} Ancotar
{Ancano} Ancano
{Aiden}	 Aiden
{Aranneylan} Arannelyan 
{Areldil}	Areldir
{Arkved}	Arkved
{Arterion}	Arterion
{Calcelmo}	Calcelmo
{Calindil}	Calindil
{Calyaamo}  Calyaamo
{Carandial}	Carandial
{Celarus}	Celarus
{Celedaen}	Celedaen
{Eldmail}	Eldmail
{Elidor}	Elidor
{Enrion}	Enrion
{Errandil}	Errandil
{Faelian}	Faelian
{Falcar}	Falcar
{Fasendil}	Fasendil
{Gilgondorin} Gildondorin
{Henantier}	Henantier
{Hindaril}	Hindaril
{Hirtel}	Hirtel
{Honditar}	Honditar
{Iachesis}	Iachesis
{Kivamiel}	Kivamiel
{Lithnilian} Lithnilian
{Maldolir}	Maldolir
{Merandil}	Merandil
{Merildor}	Merildor
{Naarfin}	Naarifin
{Naeqorwe}	Naeqorwe
{Odycano}	Odycano
{Ondolemar}	Ondolemar
{Otimbar}	Otimbar
{Orintur}	Orintur
{Ormil}		Ormil
{Rucovimo} Rucovimo
{Ryain} Ryain
{Salmo}		Salmo
{Seridur}	Seridur
{Sicrodion}	Sicrodion
{Sinderion}	Sinderion
{Suurootan}	Suurootan
{Tilmo}		Tilmo
{Tumindil}	Tumindil
{Umbacano}	Umbacano
{Vanus}  	Vanus
{Ungarion}	Ungarion
{Volanaro}	Volanaro
{Voranil}	Vorandil
{Hidelith}	Hidelith
{Tuinden}	Tuinden
{Elanwe}	Elanwe
{Naemon}	Naemon
{Ayrenn}	Ayrenn
{Ehran}	Ehran
{Arfanel} Arfanel
{Linaarie}	Linaarie
{Kazirr}	Kazirr
{Kazirra}	Kazirra
{Akkhuz}	Akkhuz
{Micell}	Micell
{Cordius}	Cordius
{Otho}	Otho
{Pontifio}	Pontifio
{Carlinus}	Carlinus
{Numida}	Numida
{Terran}	Terran
{Arminus}	Arminus
{Velarius}	Velarius
{Reive} Reive
{Augurius} Augurius
{Jeer-Tei} Jeer-Tei
{Hlan} Hlan
{Bucco} Bucco
{Regilus} Regilus
{Shazah} Shazah
{Khali}	Khali
{Cherim} Cherim
{Laurig} Laurig
{Golg}	Golg
{Hunal}	Hunal
{Azareth} Azareth
{Endare} Endare
{Glaras} Glaras
{Rolon} Rolon
{Thoron} Thoron
{Sorcalin} Sorcalin
{Pelidil} Pelidil
{Meleras} Meleras
{Ulmion} Ulmion
{Fariel} Fariel
{Breduin} Breduin
{Indaenir} Indaenir
{Aranias} Aranias
{Andur} Andur
{Sarandil} Sarandil
{Fisalie} Fisalie
{Sariel} Sariel
{Halskar} Halskar
{Carolus} Carolus
{Ephrem} Ephrem
{Fasion} Fasion
{Aroz'lai} Aroz'lai
{Forinor} Forinor
{Maeroth} Maeroth
{Benirus} Benirus
{Pulasia} Pulasia
{Euraxia} Euraxia
{Clivia} Clivia
{Lob} Lob
{Dolilas} Dolilas
{Firathil} Firathil
{Henaamo} Henaamo
{Aldononde} Aldononde
{Glaror} Glaror
{Ruuvitar} Ruuvitar
{Anglith} Anglith
{Raen} Raen
{Saen} Saen
{Clivius} Clivius
{Blackthroat} Blackthroat
{Thorntongue} Thorntongue
{Blightheart} Blightheart
{Wormfather} Wormfather
{Garmar} Garmar
{Lucullus} Lucullus
{Withclaw} Withclaw
{Stoneshaper} Stoneshaper
{Frostfang} Frostfang
{Stral} Stral
{Calix} Calix
{Borodin} Borodin
{Kevinne} Kevinne
{Thalik} Thalik
{Anchorite} Anchorite
{Fortun} Fortun
{Kerelius} Kerelius
{Vivian} Vivian
{Mannimarco} Mannimarco
{Linaarien} Linaarien
{Rolancano} Rolancano
{Rynandor} Rynandor
{Lathenil} Lathenil
{Phillida} Phillida
{Yashnag} Yashnag
{gro-Yazgu} gro-Yazgu
{Landaren} Landaren
{Artinaire} Artinaire
{Tendil} Tendil
{Sinien} Sinien
{Curime} Curime
{Hanilan} Hanilan
{Hyamir} Hyamir
{Alduril} Alduril
{Urien} Urien
{Enathorn} Enathorn
{Mengaer} Mengaer
{Dinwenel} Dinwenel
{Englor} Englor
{Urien} Urien
{Eldumoril} Eldumoril
{Elderien} Elderien
{Sincantar} Sincantar
{Cirion} Cirion
{Malyon} Malyon
{Curano} Curano
{Ostarand} Ostarand
{Nym} Nym
{Laloriaran} Laloriaran
{Celethelel} Celethelel
{Ocato} Ocato
{Dyran} Dyran
{Direnni} Direnni
{Kaltos} Kaltos
{Galerion} Galerion
{Vanus} Vanus
{Elenwen} Elenwen
{Teromawen} Teromawen
{Uryando} Uryando
{Eralgor} Eralgor
{Aldarnen} Aldarnen
{Eraegaer} Eraegaer
{Endaron} Endaron
{Giralon} Giralon
{Laelrion} Laelrion
{Lenahawn} Lenahawn
{Rilding} Rilding
{Mendreval} Mendreval
{Anexemes} Anexemes
{Haymon} Haymon
{Raven} Raven
{Rum} Rum
{Cel} Cel
{Jaqspur} Jaqspur
{Meh} Meh
{Oreyn} Oreyn
{Varbarenth} Varbarenth
{Brimlor} Brimlor
{Athemel} Athemel
{Centrathil} Centrathil
{Cenirond} Cenirond
{Borwaeneth} Borwaeneth
{Fithrolan} Fithrolan
{Folilas} Folilas
{Gathraenor} Gathraenor
{Gwilgoth} Gwilgoth
{Halordil} Halordil
{Hangaerin} Hangaerin
{Helondanbor} Helondanbor
{Laen} Laen
{Malaniel} Malaniel
{Maras} Maras
{Milmilim} Milmilim
{Milwalin} Milwalin
{Nanthenas} Nanthenas
{Niruin} Niruin
{Mankar} Mankar
{Nithriel} Nithriel
{Orchelor} Orchelor
{Ornanael} Ornanael
{Dothriel} Dothriel
{Einrel} Einrel
{Thalrinel} Thalrinel
{Gelthior} Gelthior
{Gorinir} Gorinir
{Lorchon} Lorchon
{Galriel} Galriel
{Glardel} Glardel
{Iirond} Iirond
{Nallion} Nallion
{Norweras} Norweras
{Ayleidion} Ayleidion
{Pierre} Pierre
{Ginsen} Ginsen
{Lazgar} Lazgar
{Laurig} Laurig
{Golg} Golg
{gro-Doldog} gro-Doldog
{Minangor} Minangor
{Allunen} Allunen
{Cularald} Cularald
{Trelano} Trelano
{Valano} Valano
{Fairenwen} Fairenwen
{Bowenas} Bowenas
{Ranneth} Ranneth
{Dailithil} Dailithil
{Odreth} Odreth
{Herdor} Herdor
{Glooredel} Glooredel
{Cariel} Cariel
{Edhelorn} Edhelorn
{Tarinwe} Tarinwe
{Maruin} Maruin
{Sinyon} Sinyon
{Estre} Estre
{Rilis}	Rilis
{Hazazi} Hazazi
{Melanie} Melanie
{Ostion} Ostion
{Urcelmo} Urcelmo
{Norion} Norion
{Eminwe} Eminwe
{Aeradan} Aeradan
{Camoran} Camoran
{Jimila} Jimila
{Atahba} Atahba
{Elonthor} Elonthor
{Gharesh} Gharesh
{Kazargi} Kazargi
{Sorondil}	Sorondil
{Razum}	Razum
{Angalsama}	Angalsama
{Arannelya} Arannelya
{Ardaline}	Ardaline
{Arquen} Arquen
{Aryarie}	Aryarie
{Atraena}	Atraena
{Caminalda}	Caminalda
{Caranya}	Caranya
{Earana}	Earana
{Eilnowy}	Eilonwy
{Elante}	Elante
{Erissare}	Erissare
{Hildara}	Hildara
{Karinnarre} Karinnarre
{Mirie}		Mirie
{Nerussa}	Nerussa
{Othesse}	Othesse
{Palonirya}	Palonirya
{Ranalie}	Ranalie
{Ruma}		Ruma
{Tandilwe}	Tandilwe
{Varulae}	Varulae
{Addvar}	Addvar
{Alvor}		Alvor
{Andrus}	Andrus
{Angvid}	Angvid
{Arnbjorn}	Arnbjorn
{Aslfur}	Aslfur
{Atar}		Atar
{Avulstein}	Avulsten
{Bandir}	Bandir
{Balgruth}	Balgruf
{Balimund}	Balimund
{Benkum}	Benkum
{Briehl}	Briehl
{Brunwulf}	Brunwulf
{Bulfrek}	Bulfrek
{Dagur}		Dagur
{Dengeir}  Dengeir
{Duvice}	Duvice
{Eimar}		Eimar
{Embry}		Embry
{Erik}		Erik
{Erikur}	Erikur
{Folk}		Folk
{Farengar}	Farengar
{Farkas}	Farlas
{Filnjar}	Filanjar
{Fultheim}	Fultheim
{Galmar}	Galmar
{Garthar}	Garthar
{Geimund}	Geimund
{Gestur}	Gestur
{Gissur}	Gissur
{Gjak}		Gjak
{Gloth}		Gloth
{Golldir}	Golldir
{Gorm}		Gorm
{Grisvar}	Grisvar
{Gundurr}	Gundurr
{Hadvar}	Hadvar
{Harrald}	Harrald
{Hroggar}	Hroggar
{Hrolfdir}	Hrolfdir
{Hrongar}	Hrongar
{Idolaf}	Idolaf
{Igmund}	Igmund
{Igrod}	    Igrod
{Imskar}	Imskar
{Istlod}	Istlod
{Jorn}		Jorn
{Kodlak}	Kodlak
{Kodrir}	Kodrir
{Mikael}	Mikael
{Molgorm}	Molgorm
{Mralki}	Mralki
{Odar}		Odar
{Ogmund}	Ogmund
{Ragnar}	Ragnar
{Rolff}		Rolff
{Ralof}		Ralof
{Siddgeir}	Siddgeir
{Skald}	  Skald
{Thorgar}	Thorgar
{Thrynn}	Thrynn
{Torygg}	Torygg
{Raibert}	Raibert
{Torolf}	Torolf
{Bitterblade} Bitterblade
{Gap-Tooth} Gap-Tooth
{Ulfric} Ulfric
{Orcthane} Orcthane
{Jorunn} Jorunn
{Mabjaarn} Mabjaarn
{Fildgor} Fildgor
{Irnskar} Irnskar
{Lenning} Lenning
{Vigrod} Vigrod
{Hamar} Hamar
{Gandis} Gandis
{Gjakil} Gjakil
{Borodin} Borodin
{Fenrir} Fenrir
{Bredrek} Bredrek
{Andrin} Andrin
{Holgunn} Holgunn
{Unvald} Unvald
{Oda} Oda
{Rawan} Rawan
{Merton} Merton
{Harvard} Harvard
{Orcthane} Orcthane
{Wraithbane} Wraithbane
{Ironhand} Ironhand
{Snowhunter} Snowhunter
{Hokurek} Hokurek
{Yjarnn} Yjarnn
{Hlorenor} Hlorenor
{Vurlop} Vurlop
{Harvald} Harvald
{Majorn} Majorn
{Valeric} Valeric
{Gakurek} Gakurek
{Esling} Esling
{Hald} Hald
{Wraithbane} Wraithbane
{Jeggi} Jeggi
{Nurnhilde} Nurnhilde
{Hrondar} Hrondar
{Jeggord} Jeggord
{Zimmeron} Zimmeron
{Servyn} Servyn 
{Indoril} Indoril
{Hlaalu} Hlaalu
{Redoran} Redoran
{Dres} Dres
{Omin} Omin
{Naryu} Naryu
{Virian} Virian
{Alarel} Alarel
{Duryn} Duryn
{Llurour} Llurour
{Venthin} Venthin
{Melur} Melur
{Sen} Sen
{Lyranth} Lyranth
{Seris} Seris
{Molag_Bal} Molag Bal
{Mannimarco} Mannimarco
{Ralden} Ralden
{Aryo} Aryo
{Bralos} Bralos
{Diiril} Diiril
{Giron} Giron
{Turnol} Turnol
{Morami} Morami
{Mondran} Mondran
{Furen} Furen
{Hlenir} Hlenir
{Belvin} Belvin
{Galdsa} Galdsa
{Gavrys} Gavryn
{Talvyn} Taldyn
{Brethis} Brethis
{Darj} Darj
{Rana} Rana
{Drathus} Drathus
{Othral} Othral
{Aldryn} Aldryn
{Beron} Beron
{Farayn} Farayn
{Llasi} Llasi
{Omoren} Omoren
{Beleran} Beleran
{Vunal} Vunal
{Belronen} Belronen
{Belron} Belron
{Vox} Vox
{Arvyn} Arvyn
{Serien} Serien
{Thandon} Thandon
{Brilnosu} Brilnosu
{Darvasen} Darvasen
{Merdyndril} Merdyndril
{Telvanni} Telvanni
{Almalexia} Almalexia
{Tanval} Tanval
{Thrush} Thrush
{Yeveth} Yeveth
{Noramil} Noramil
{Garyn} Garyn
{Vhos} Vhos
{Danys} Danys
{Dohna} Dohna
{Gelds} Gelds
{Talsyne} Talsyne
{Naddu} Naddu
{Talnus} Talnus
{Eyes-of-Steel} Eyes-of-Steel
{Heita-Meen} Heita-Meen 
{Dar-Liurz} Dar-Liurz
{Haj-Tei} Haj-Tei
{Alan-Tei} Alan-Tei
{Axe-Fist} Axe-Fist
{Bathed-in-Steel} Bathed-in-Steel
{Beek-Nei} Beek-Nei
{Black-Scale} Black-Scale
{Chilwir} Chilwir
{Dee-Nura} Dee-Nura
{Heek-Sa} Heek-Sa
{Im-Kajin} Im-Kajin
{Ianix}	Ianix
{Plays-With-Fire} Plays-With-Fire
{Inue} Inue
{Stormy-Eyes} Stormy-Eyes
{Kal-Mei} Kal-Mei
{Listens-to-Water} Listens-to-Water
{Maddu}	Maddu
{Ree-Kia} Ree-Kia
{Rides-the-River} Rides-the-River
{Sky-Seer} Sky-Seer
{Sharp-Edge} Sharp-Edge
{Taleel-Bex} Taleel-Bex
{Tar-Shebs}	Tar-Shebs
{Teeka}	Teeka
{Under-Root} Under-Root
{Veenaza} Veenaza
{Nesh-Ja} Nesh-Ja
{Mim-Jas} Mim-Jas
{Nubaree} Nubaree
{Keesekeeth} Keesekeeth
{Okaw-Durnania}	Okaw-Durnania
{Otumi-Wulm} Otumi-Wulm
{Ja-Reet} Ja-Reet
{Seemarz} Seemarz
{Ukka-Dimik} Ukka-Dimik
{Druxolneeus} Druxolneeus
{Ajul-Kahz}	Ajul-Kahz
{Tah-Tehat}	Tah-Tehat
{Akeerus} Akeerus
{Nuleem-Malem} Nuleem-Malem
{Dethrel} Dethrel
{Najeepa} Najeepa
{Ahaht-Ei} Ahaht-Ei
{Am-Meesei}	Am-Meesei
{Keel-Lurash} Keel-Lurash
{Telixith} Telixith
{Born-Under-Stars} Born-Under-Stars
{Has-No-Regrets} Has-No-Regrets
{Long-Claw}	Long-Claw
{Mud-Toes}	Mud-Toes
{Nimble-Knuckles} Nimble-Knuckles
{Rising-In-Still-Waters} Rising-In-Still-Waters
{Sharp-Eyes} Sharp-Eyes
{Sleeps-With-Open-Eyes} Sleeps-With-Open-Eyes
{Nexith} Nexith
{Ukka-Meedish} Ukka-Meedish
{Ah-Seeba} Ah-Seeba
{Adrasi} Adrasi
{Dosu-Nur} Dosu-Nur
{Lizard-Eater} Lizard-Eater
{Kizta-Raj}	Kizta-Raj
{Pimaxi-Loh} Pimaxi-Loh
{Rabeen-Ei}	Rabeen-Ei
{Terezeeus}	Terezeeus
{Swift-Catch} Swift-Catch
{Uthisii} Uthisii
{Nebutil} Nebutil
{Sees-All-Colors} Sees-All-Colors
{Head-In-Clouds} Head-In-Clouds
{Azeez-Eix}	Azeez-Eix
{Many-Eyes-Watching} Many-Eyes-Watching
{Speaks-With-Lights} Speaks-With-Lights
{Walks-In-Ash} Walks-In-Ash
{Kepanuu} Kepanuu
{Way-With-Words} Way-With-Words
{Runs-With-Quickness} Runs-With-Quickness
{Kamax-Ei} Kamax-Ei
{One-Eye} One-Eye
{Hides-The-Ashes} Hides-The-Ashes
{Silent-Moss} Silent-Moss
{Deyapa} Deyapa
{Ukatsei} Ukatsei
{Uxith-Ei} Uxith-Ei
{Keel-Lurash} Keel-Lurash
{Fal-Xoc} Fal-Xoc
{Sarase} Sarase
{Brinarch} Brinarch
{Strastnoc} Strastnoc
{Valdimar}	Valdimar
{Vilkas}	Vilkas
{Vilod}		Vilod
{Yngvar}	Yngvar
{Yngold}	Yngold
{Aspenarm}		Aspenarm
{Alhund}		Alhund
{Anvil-Hand}		Anvil-Hand
{Axeman}		Axeman
{Axebearer}		Axebearer
{Axewife}		Axewife
{Bearclaw}		Bearclaw
{Bearskin}		Bearskin
{Blackfyre}		Blackfyre
{Blackblood}		Blackblood
{Blackthorn}		Blackthorn
{Bloodmouth}		Bloodmouth
{Blue-Eyes}		Blue-Eyes
{Blue-Tooth}		Blue-Tooth
{Bog-Trotter}		Bog-Trotter
{Bold-Lute}		Bold-Lute
{Bright-Eyes}		Bright-Eyes
{Bronzehelm}		Bronzehelm
{Coldhand}		Coldhand
{Coldfist}		Coldfist
{Coldsword}		Coldsword
{Cloud-Runner}		Cloud-Runner
{Cravenrune}		Cravenrune
{Crowchild}		Crowchild
{Crowhaven}		of Crowhaven
{Cursebringer}		Cursebringer
{Dampnervald}		Dampnervald
{Dayspring}		Dayspring
{Dawntreader}		Dawntreader
{Dawnstar}		of Dawnstar
{Deathbloom}		Deathbloom
{Death-Bringer}		Death-Bringer
{Doomsayer}		Doomsayer
{Dovahbor}		Dovahbor
{Dovahoran}		Dovahoran
{Eagle-Eye}		Eagle-Eye
{Eastmarch}		of Eastmarch
{Ebonhand}		Ebonhand
{Ebonheart}		of Ebonheart
{Elderfire}		Elderfire
{Eldergleam}		Eldergleam
{Elderoot}		Elderoot
{Elf-Hewer}		Elf-Hewer
{Elf-Killer}		Elf-Killer
{Falkreath}		of Falkreath
{Farseer}		Farseer
{Finehair}		Finehair
{Firebringer}		Firebringer
{Firebeather}		Firebeather
{Fire-Eyes}		Fire-Eyes
{Flat-Tooth}		Flat-Tooth
{Flatfoot}		Flatfoot
{Flatface}		Flatface
{Fog-Eye}		Fog-Eye
{Forkbeard}		Forkbeard
{Free-Winter}		Free-Winter
{Frostbeard}		Frostbeard
{Frostfire}		Frostfire
{Frostfang}		Frostfang
{Ghost-Bear}		Ghost-Bear
{Ghostheart}		Ghostheart
{Gildergreen}		Gildergreen
{Greenhand}		Greenhand
{Greenthumb}		Greenthumb
{Greenteeth}		Greenteeth
{Greybeard}		Greybeard
{Greymane}		Greymane
{Greywave}		Greywave
{Hairy-Legs}		Hairy-Legs
{Halfhand}		Halfhand
{Hammerhand}		Hammerhand
{Hammerheart}		Hammerheart
{Hardmouth}		Hardmouth
{Heartbreaker}		Heartbreaker
{Heartfang}		Heartfang
{Hearth-healer}		Hearth-healer
{Heljarchen}		of Heljarchen
{Hexcaller}		Hexcaller
{Highlander}		Highlander
{Hjalmarch}		of Hjalmarch
{Hoarblood}		Hoarblood
{Hoarfrost}		Hoarfrost
{Hoe-Pusher}		Hoe-Pusher
{Hollowhead}		Hollowhead
{Horsebreaker}		Horsebreaker
{Horsemouth}		Horsemouth
{Horkerbane}		Horkerbane
{Huskarl}		Huskarl
{Ice-child}		Ice-child
{Icefist}		Icefist
{Ice-Veins}		Ice-Veins
{Ironblood}		Ironblood
{Ironhand}		Ironhand
{Ironhead}		Ironhead
{Ironhelm}		Ironhelm
{Ironside}		Ironside
{Karthspire}		of Karthspire
{Karthold}		Karthold
{Lawspeaker}		Lawspeaker
{Lightbringer}		Lightbringer
{Loathespell}		Loathespell
{Longleg}		Longleg
{Long-Nose}		Long-Nose
{Longtooth}		Longtooth
{Lonleygale}		Lonleygale
{Lorespinner}		Lorespinner
{Lute-Voice}		Lute-Voice
{Lute-Master}		Lute-Master
{Magnemar}		Magnemar
{Meadmaker}		Meadmaker
{Meadtaker}		Meadtaker
{Milk-Drinker}		Milk-Drinker
{Mumblefinger}		Mumblefinger
{Name-chaser}		Name-chaser
{Oakheart}		Oakheart
{Oakenhull}		Oakenhull
{Oakenarm}		Oakenarm
{One-eye}		One-eye
{Palechild}		Palechild
{Pale-Heart}		Pale-Heart
{Pale-Keeper}		Pale-Keeper
{Pale-Rider}		Pale-Rider
{Ravencrone}		Ravencrone
{Red-Spear}		Red-Spear
{Riverhelm}		of Riverhelm
{Riverwood}		of Riverwood
{Sablehilt}		Sablehilt
{Seachild}		Seachild
{Secretfire}		Secretfire
{Skald}			Skald
{Shadowbane}		Shadowbane
{Shadowstar}		Shadowstar
{Shattershield}		Shattershield
{Silverblood}		Silverblood
{Skyforged}		Skyforged
{Sky-Dancer}		Sky-Dancer
{Skywatcher}		Skywatcher
{Snowfall}		Snowfall
{Snowshod}		Snowshod
{Snowsong}		Snowsong
{Starkheart}		Starkheart
{Steelheart}		Steelheart
{Steelshod}		Steelshod
{Strongbow}		Strongbow
{Stonebreaker}		Stonebreaker
{Stonefist}		Stonefist
{Stone-Singer}		Stone-Singer
{Stormcaller}		Stormcaller
{Stormcrown}		Stormcrown
{Stormfist}		Stormfist
{Stormcloak}		Stormcloak
{Sweatlicker}		Sweatlicker
{Swiftsail}		Swiftsail
{Tallowhand}		Tallowhand
{Thrice-Versed}		Thrice-Versed
{Thrice-Pierced}	Thrice-Pierced
{Thorkiin}		Thorkiin
{Thorman}		Thormanson
{Thorvald}		Thorvaldson
{Timberhold}		Timberhold
{Tilvald}		Tilvaldson
{Tormund}		Tormundson
{Tor}			Torson
{Trollkin}		Trollkin
{True-steel}		True-steel
{Trueheart}		Trueheart
{Unfirth}		Unfirth
{Vexhild}		Vexhild
{Wall-taker}		Wall-taker
{Wavebreaker}		Wavebreaker
{Weatherhat}		Weatherhat
{Wetpommel}		Wetpommel
{Whetstone}		Whetstone
{Whitebeard}		Whitebeard
{White-Eye}		White-Eye
{Whitemane}		Whitemane
{Tali} Tali
{Whiterun}		of Whiterun
{Whitewave}		Whitewave
{Whore-Killer}		Whore-Killer
{Windcaller}		Windcaller
{Windeye}		Windeye
{Windstadt}		Windstadt
{Wine-sot}		Wine-sot
{Winterbreath}		Winterbreath
{Winterfist}		Winterfist
{Winterheart}		Winterheart
{Winterhome}		Winterhome
{Winterhold}		of Winterhold
{Wolfheart}		Wolfheart
{Wolf-Runner}		Wolf-Runner
{Wolf-Killer}		Wolf-Killer
{Wulfhearth}		Wulfhearth
{Wulfsbane}		Wulfsbane
{Wulfkin}		Wulfkin
{Yoresinger}		Yoresinger
{Bitterblade}		Bitterblade
{Gap-Tooth}		Gap-Tooth
{Skald-King}		Skald-King
{Abelone}	Abelone
{Adisla}	Adisla
{Aela}		Aela
{Agnis}		Agnis
{Annekke}	Annekke
{Astrid}	Astrid
{Beitild}	Beitild
{Boti}		Boti
{Breya}		Breya
{Brina}		Brina
{Bryling}	Bryling
{Danica}	Danica
{Drifa}		Drifa
{Edith}		Edith
{Elda}		Elda
{Elisif}	Elisif
{Erdi}		Erdi
{Evette}	Evette
{Eydis}		Eydes
{Faida}		Faida
{Frabbi}	Frabbi
{Freir}		Freir
{Fridika}	Fridika
{Fruki}		Fruki
{Gerda}		Gerda
{Haelga}	Haelga
{Ingrid}	Ingrid
{Laila}		Laila
{Lami}		Lami
{Lisbet}	Lisbet
{Matlara}	Matlara
{Maven}		Maven
{Mjoll}		Mjill
{Narri}		Narri
{Nilsine}	Nilsine
{Njada}		Njada
{Nura}		Nura
{Olda}		Olda
{Orla}		Orla
{Rikke}		Rikke
{Sapphire}	Sapphire
{Sybille}	Sybille
{Tekla}		Tekla
{Tormir}	Tormir
{Tova}		Tova
{Una}		Una
{Ysolda}	Ysolda
{NhadHatta} 	Nhad-Hatta
{Dagoth_Aladus}		Dagoth Aldus
{Dagoth_Araynys}	Dagoth Araynys
{Dagoth_Baler}		Dagoth Baler
{Dagoth_Delnus}		Dagoth Delnus
{Dagoth_Drals}		Dagoth Dralis
{Dagoth_Draven}		Dagoth Draven
{Dagoth_Elam}		Dagoth Elam
{Dagoth_Endus}		Dagoth Endus
{Dagoth_Fals}		Dagoth Fals
{Dagoth_Fandril}	Dagoth Fandril
{Dagoth_Felmis}		Dagoth Felmis
{Dagoth_Fervas}		Dagoth Fervas
{Dagoth_Fovon}		Dagoth Fovon
{Dagoth_Galmis}		Dagoth Galmis
{Dagoth_Gares}		Dagoth Gares
{Dagoth_Gilvoth}	Dagoth Gilvoth
{Dagoth_Girer}		Dagoth Girer
{Dagoth_Goral}		Dagoth Goral
{Dagoth_Ienas}		Dagoth Ienas
{Dagoth_Irvyn}		Dagoth Irvyn
{Dagoth_Malan}		Dagoth Malan
{Dagoth_Mendras}	Dagoth Mendras
{Dagoth_Molos}		Dagoth Molos
{Dagoth_Mulis}		Dagoth Mulis
{Dagoth_Muthes}		Dagoth Muthes
{Dagoth_Nilor}		Dagoth Nilor
{Dagoth_Odros}		Dagoth Odros
{Dagoth_Ralas}		Dagoth Ralas
{Dagoth_Rather}		Dagoth Rather
{Dagoth_Reler}		Dagoth Reler
{Dagoth_Soler}		Dagoth Soler
{Dagoth_Tanis}		Dagoth Tanis
{Dagoth_Tureynul}	Dagoth Tureynul
{Dagoth_Ulen}		Dagoth Ulen
{Dagoth_Uthol}		Dagoth Uthol
{Dagoth_Uvil}		Dagoth Uvil
{Dagoth_Ur}		Dagoth Ur
{Dagoth_Vaner}		Dagoth Vaner
{Dagoth_Velos}		Dagoth Velos
{Dagoth_Vemin}		Dagoth Vemin
{Dagoth_Hlevul}		Dagoth Hlevul
{Dagoth-Womana}		Dagoth woman
{Dagoth-Womanb}		Dagoth woman
{Dagoth-Womanc}		Dagoth woman
{Dagoth-Womand}		Dagoth woman
{Dagoth_Womane}		Dagoth woman
{Dagoth_Womanf}		Dagoth woman
{Am-Shadal}		Am-Shadal
{Alusaron}		Alusaron 
{Azah}		Azah
{Adar}		Adar
{Ancola}		Ancola
{Amren}			Amren
{Ammun}			Ammun
{Ataf}			Ataf
{Ator}			A'tor
{Artago}		Artago
{Avidius}		Avidius
{Azzada}		Azzada
{Azzadal}		Azzadal
{Bhosek}		Bhosek
{Brenuin}		Brenduin
{Varus}		Varus
{Vantinius}		Vantinius
{Baral}			Baral
{Baurus}		Baurus
{Cavortius}		Cavortius
{Albuttian}		Albuttian
{Endon}			Endon
{Ennis}			Ennis
{Farvard}		Farvard
{Falion}		Falion
{Gerklit}		Greklith
{Lhotun}		Lhotun
{Rodore}		Rodore
{Fahara'jad}	Fahara'jad
{Fiada}			Fiada
{Jawanan}		Jawanan
{Husni}		    Husni
{Maramal}		Maramal
{Kameron}		Kameron
{Kane}			Kane
{Andrin}		Andrin
{Kalvyn}		Kalvyn
{Kematu}		Kematu
{Khorshad}		Khorshad
{Haldyn}		Haldyn
{Dhakir}		Dhakir
{Marimah}		Marimah
{Nazeem}		Nazeem
{Nazir}			Nazir
{Oresm}			Oresm
{Ranbiq}		Ranbiq
{Razelan}		Razelan
{Sairus}		Sairus
{Shadr}			Shadr
{Shrike}		Shrike
{Talib}			Talib
{Thoda}			Thoda
{Tassad}		Tassad
{Varnado}		Varnado
{Zaladr}		Zaladr
{Ahdan} Ahdan
{Merric} Merric
{Rahim} Rahim
{Abiznaz} Abiznaz
{Kathalir} Kathalir
{Marbilah} Marbilah
{Asadel} Asadel
{Aideh} Aideh
{Fahad} Fahad
{Bahrah} Bahrah
{Aradhel} Aradhel
{Bahir} Bahir
{Fahdah} Fahdah
{Hahakil} Hahakil
{Hayed} Hayed
{Idani} Idani
{Ilmah} Ilmah
{Kamiran} Kamiran
{Latif} Latif
{Laknar} Laknar
{Masahir} Masahir
{Mizrad} Mizrad
{Neenaban} Neenaban
{Nuzah} Nuzah
{Sayminah} Sayminah
{Serosh} Serosh
{Shahid} Shahid
{Shalazad} Shalazad
{Shalayleh} Shalayleh
